,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Hobyo,SO,77.45,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
280,Lahan,NP,77.9,overcast clouds,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
283,Douglas,US,86.95,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
284,Shache,CN,79.03,overcast clouds,38.4167,77.2406,Delong Hotel
287,Banda Aceh,ID,79.03,heavy intensity rain,5.5577,95.3222,Sulthan Hotel International
289,Trincomalee,LK,81.55,broken clouds,8.5711,81.2335,Welcombe Hotel
293,Kumluca,TR,87.82,clear sky,36.3703,30.2869,TurkuazKöy
295,Kirakira,SB,80.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
296,Kavaratti,IN,82.63,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
300,Kieta,PG,80.78,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
305,Almeirim,BR,78.78,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
306,Tezu,IN,75.15,overcast clouds,27.9167,96.1667,Circuit House
307,Portoferraio,IT,77.97,overcast clouds,42.8115,10.3146,Hotel Villa Ombrosa
310,Nishihara,JP,80.26,mist,26.1842,127.7558,Minshuku Agaihama
311,Anloga,GH,79.93,overcast clouds,5.7947,0.8973,Pin Drop Hotel
313,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
323,Glenwood Springs,US,84.4,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
324,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
326,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
331,Fortuna,US,89.19,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
334,Hantsport,CA,78.69,overcast clouds,45.0668,-64.1654,The Flying Apron Inn & Cookery
336,Nueva Loja,EC,76.48,clear sky,0.0847,-76.8828,Limoncocha Great Hotel
344,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
345,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
348,Kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
349,Fort-Shevchenko,KZ,80.29,few clouds,44.5086,50.263000000000005,Oasis hotel Bautino
354,Anito,PH,78.85,overcast clouds,12.4497,125.2886,The Yellow House
362,Eyl,SO,79.75,overcast clouds,7.9803,49.8164,Amiin Hotel
364,Quang Ngai,VN,78.93,broken clouds,15.1167,108.8,Central Hotel
366,Narasannapeta,IN,83.07,moderate rain,18.4167,84.05,G.lingaraju home
370,Olinda,BR,76.73,overcast clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
373,Rock Springs,US,83.23,few clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
374,Tabou,CI,78.53,light rain,4.423,-7.3528,hotêl doufoulougou
379,Griffith,US,78.62,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
381,Itarema,BR,79.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Antigua Ocotepeque,HN,89.74,scattered clouds,14.4,-89.2,Hotel Internaciona
384,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
385,Owando,CG,76.75,few clouds,-0.4819,15.8999,Exaunel Hotel Owando
391,Kantunilkin,MX,85.95,overcast clouds,21.0917,-87.45,Posada Paraiso
392,Sillod,IN,75.0,broken clouds,20.3,75.65,पवन
396,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
398,Korla,CN,78.8,clear sky,41.7597,86.1469,Gulisitan Hotel
400,Darnah,LY,88.14,clear sky,32.766999999999996,22.6367,فندق الفردوس
401,Albion,US,80.31,scattered clouds,42.2431,-84.75299999999999,Days Inn by Wyndham Albion
409,Negombo,LK,79.93,overcast clouds,7.2083,79.8358,Hotel Sunset Beach
411,Seoul,KR,76.57,clear sky,37.5683,126.9778,롯데호텔 서울
413,Orsk,RU,77.9,clear sky,51.2049,58.5668,Kolizey
421,Baillif,GP,81.9,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
422,San Nicolas,PH,78.71,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
428,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
437,La Gomera,GT,89.31,overcast clouds,14.0833,-91.05,Cede.E.T.V
